Order	Label	X	Y
286	eas7.jpg	2030	2501
287	eas7.jpg	2090	2579
288	eas7.jpg	2152	2649
289	eas7.jpg	2222	2705
290	eas7.jpg	161	1746
291	eas7.jpg	341	1752
292	eas7.jpg	476	1761
293	eas7.jpg	578	1788
294	eas7.jpg	689	1854
295	eas7.jpg	803	1941
296	eas7.jpg	884	2028
297	eas7.jpg	1028	2121
298	eas7.jpg	905	2109
299	eas7.jpg	719	2127
300	eas7.jpg	629	2124
301	eas7.jpg	542	2091
302	eas7.jpg	470	2052
303	eas7.jpg	401	2001
304	eas7.jpg	356	1965
305	eas7.jpg	305	1917
306	eas7.jpg	245	1812
307	eas8.jpg	635	1514
308	eas8.jpg	737	1490
309	eas8.jpg	865	1432
310	eas8.jpg	961	1384
311	eas8.jpg	1061	1326
312	eas8.jpg	1119	1246
313	eas8.jpg	1181	1154
314	eas8.jpg	1225	1060
315	eas8.jpg	1273	878
316	eas8.jpg	1227	948
317	eas8.jpg	1157	996
318	eas8.jpg	1071	1050
319	eas8.jpg	993	1110
320	eas8.jpg	919	1172
321	eas8.jpg	837	1236
322	eas8.jpg	761	1334
323	eas8.jpg	697	1466
324	eas8.jpg	789	1782
325	eas8.jpg	819	1872
326	eas8.jpg	906	1941
327	eas8.jpg	975	2016
328	eas8.jpg	1020	2118
329	eas8.jpg	1053	2220
330	eas8.jpg	1080	2334
331	eas8.jpg	1074	2460
332	eas8.jpg	1086	2541
333	eas8.jpg	1110	2673
334	eas8.jpg	1044	2604
335	eas8.jpg	975	2553
336	eas8.jpg	924	2520
337	eas8.jpg	828	2421
338	eas8.jpg	774	2328
339	eas8.jpg	747	2220
340	eas8.jpg	747	2049
341	isa1.1.jpg	1140	598
342	isa1.1.jpg	1212	680
343	isa1.1.jpg	1290	768
344	isa1.1.jpg	1392	834
345	isa1.1.jpg	1492	920
346	isa1.1.jpg	1588	1074
347	isa1.1.jpg	1668	1200
348	isa1.1.jpg	1700	1330
349	isa1.1.jpg	1668	1516
350	isa1.1.jpg	1604	1456
351	isa1.1.jpg	1562	1472
352	isa1.1.jpg	1426	1382
353	isa1.1.jpg	1318	1240
354	isa1.1.jpg	1264	1112
355	isa1.1.jpg	1232	1010
356	isa1.1.jpg	1204	892
357	isa1.1.jpg	1192	776
358	isa1.1.jpg	1958	1852
359	isa1.1.jpg	1874	1936
360	isa1.1.jpg	1772	2050
361	isa1.1.jpg	1658	2221
362	isa1.1.jpg	1526	2335
363	isa1.1.jpg	1379	2422
364	isa1.1.jpg	1211	2482
365	isa1.1.jpg	1034	2458
366	isa1.1.jpg	992	2422
367	isa1.1.jpg	1016	2305
368	isa1.1.jpg	1169	2152
369	isa1.1.jpg	1307	2053
370	isa1.1.jpg	1424	1999
371	isa1.1.jpg	1529	1954
372	isa1.1.jpg	1616	1924
373	isa1.1.jpg	1733	1912
374	isa1.1.jpg	1844	1897
375	isa1.10.jpg	2307	827
376	isa1.10.jpg	2263	867
377	isa1.10.jpg	2183	949
378	isa1.10.jpg	2113	1055
379	isa1.10.jpg	2025	1169
380	isa1.10.jpg	1959	1233
381	isa1.10.jpg	1877	1301
382	isa1.10.jpg	1801	1341
383	isa1.10.jpg	1671	1365
384	isa1.10.jpg	1661	1265
385	isa1.10.jpg	1727	1151
386	isa1.10.jpg	1799	1063
387	isa1.10.jpg	1859	1011
388	isa1.10.jpg	1973	935
389	isa1.10.jpg	2063	899
390	isa1.10.jpg	2143	871
391	isa1.10.jpg	2229	841
392	isa1.10.jpg	2301	1261
393	isa1.10.jpg	2259	1347
394	isa1.10.jpg	2201	1481
395	isa1.10.jpg	2145	1573
396	isa1.10.jpg	2085	1637
397	isa1.10.jpg	2027	1687
398	isa1.10.jpg	1925	1729
399	isa1.10.jpg	1829	1729
400	isa1.10.jpg	1823	1653
401	isa1.10.jpg	1857	1559
402	isa1.10.jpg	1919	1495
403	isa1.10.jpg	1991	1439
404	isa1.10.jpg	2065	1395
405	isa1.10.jpg	2121	1363
406	isa1.10.jpg	2171	1345
407	isa1.10.jpg	2211	1321
408	isa1.10.jpg	2239	1307
409	isa1.10.jpg	2273	1287
410	isa1.11.jpg	692	1246
411	isa1.11.jpg	770	1384
412	isa1.11.jpg	974	1576
413	isa1.11.jpg	1082	1876
414	isa1.11.jpg	1142	2176
415	isa1.11.jpg	1112	2560
416	isa1.11.jpg	992	2824
417	isa1.11.jpg	692	3214
418	isa1.11.jpg	620	3046
419	isa1.11.jpg	506	2884
420	isa1.11.jpg	404	2746
421	isa1.11.jpg	338	2512
422	isa1.11.jpg	260	2242
423	isa1.11.jpg	278	2014
424	isa1.11.jpg	350	1804
425	isa1.11.jpg	446	1612
426	isa1.11.jpg	614	1444
427	isa1.11.jpg	2528	2212
428	isa1.11.jpg	2444	2344
429	isa1.11.jpg	2366	2698
430	isa1.11.jpg	2282	2914
431	isa1.11.jpg	2114	3082
432	isa1.11.jpg	1976	3208
433	isa1.11.jpg	1778	3286
434	isa1.11.jpg	1514	3340
435	isa1.11.jpg	1292	3328
436	isa1.11.jpg	920	3328
437	isa1.11.jpg	974	3160
438	isa1.11.jpg	1070	2986
439	isa1.11.jpg	1262	2632
440	isa1.11.jpg	1418	2452
441	isa1.11.jpg	1634	2290
442	isa1.11.jpg	2012	2194
443	isa1.11.jpg	2312	2242
444	isa1.12.jpg	2196	1881
445	isa1.12.jpg	2115	1800
446	isa1.12.jpg	2073	1755
447	isa1.12.jpg	1974	1725
448	isa1.12.jpg	1803	1692
449	isa1.12.jpg	1647	1623
450	isa1.12.jpg	1509	1503
451	isa1.12.jpg	1428	1425
452	isa1.12.jpg	1392	1293
453	isa1.12.jpg	1479	1275
454	isa1.12.jpg	1608	1272
455	isa1.12.jpg	1776	1359
456	isa1.12.jpg	1866	1434
457	isa1.12.jpg	1980	1539
458	isa1.12.jpg	2043	1623
459	isa1.12.jpg	2106	1710
460	isa1.12.jpg	2157	1800
461	isa1.12.jpg	1836	21
462	isa1.12.jpg	1872	141
463	isa1.12.jpg	1917	279
464	isa1.12.jpg	1965	390
465	isa1.12.jpg	1977	555
466	isa1.12.jpg	1938	687
467	isa1.12.jpg	1872	840
468	isa1.12.jpg	1797	948
469	isa1.12.jpg	1710	1050
470	isa1.12.jpg	1641	906
471	isa1.12.jpg	1617	738
472	isa1.12.jpg	1665	531
473	isa1.12.jpg	1737	405
474	isa1.12.jpg	1806	336
475	isa1.12.jpg	1833	207
476	isa1.12.jpg	1839	138
477	isa1.12.jpg	1842	63
478	isa1.13.jpg	2559	723
479	isa1.13.jpg	2493	785
480	isa1.13.jpg	2425	849
481	isa1.13.jpg	2365	921
482	isa1.13.jpg	2291	1009
483	isa1.13.jpg	2195	1083
484	isa1.13.jpg	2073	1131
485	isa1.13.jpg	1987	1163
486	isa1.13.jpg	1883	1171
487	isa1.13.jpg	1787	1155
488	isa1.13.jpg	1813	1093
489	isa1.13.jpg	1887	1001
490	isa1.13.jpg	1959	949
491	isa1.13.jpg	2049	895
492	isa1.13.jpg	2141	855
493	isa1.13.jpg	2255	823
494	isa1.13.jpg	2403	791
495	isa1.13.jpg	2099	1223
496	isa1.13.jpg	2000	1385
497	isa1.13.jpg	1955	1508
498	isa1.13.jpg	1895	1601
499	isa1.13.jpg	1820	1685
500	isa1.13.jpg	1748	1733
501	isa1.13.jpg	1685	1769
502	isa1.13.jpg	1535	1796
503	isa1.13.jpg	1520	1706
504	isa1.13.jpg	1547	1622
505	isa1.13.jpg	1592	1529
506	isa1.13.jpg	1643	1484
507	isa1.13.jpg	1730	1433
508	isa1.13.jpg	1796	1400
509	isa1.13.jpg	1883	1349
510	isa1.13.jpg	1943	1313
511	isa1.13.jpg	2027	1280
512	isa1.14.jpg	65	3544
513	isa1.14.jpg	149	3469
514	isa1.14.jpg	302	3280
515	isa1.14.jpg	407	3172
516	isa1.14.jpg	533	3094
517	isa1.14.jpg	632	3046
518	isa1.14.jpg	734	3016
519	isa1.14.jpg	881	3001
520	isa1.14.jpg	1028	3073
521	isa1.14.jpg	1052	3181
522	isa1.14.jpg	1001	3295
