"order" "label" "x1" "y1" "x2" "y2" "x3" "y3" "x4" "y4" "x5" "y5" "x6" "y6" "x7" "y7" "x8" "y8" "x9" "y9" "x10" "y10" "x11" "y11" "x12" "y12" "x13" "y13" "x14" "y14" "x15" "y15" "x16" "y16" "x17" "y17"
"31" "isa1.14.jpg" "  65" "  65" "3544" " 149" "3469" " 302" "3280" " 407" "3172" " 533" "3094" " 632" "3046" " 734" "3016" " 881" "3001" "1028" "3073" "1052" "3181" "1001" "3295" " 908" "3409" " 770" "3490" " 602" "3544" " 479" "3571" " 335" "3529" " 182" "3529"
"32" "isa1.14.jpg" "2292" "2292" "2416" "2202" "2341" "2097" "2230" "1989" "2110" "1860" "2005" "1710" "1939" "1566" "1906" "1419" "1930" "1263" "2020" "1296" "2140" "1380" "2260" "1500" "2344" "1674" "2413" "1776" "2410" "1941" "2404" "2088" "2395" "2181" "2401"
"33" "isa1.2.jpg" "568" "568" "1698" "648" "1776" "750" "1882" "842" "2010" "874" "2124" "906" "2238" "908" "2406" "906" "2472" "890" "2536" "844" "2588" "766" "2576" "682" "2512" "634" "2408" "612" "2308" "580" "2208" "558" "2034" "564" "1870"
"34" "isa1.2.jpg" "2202" "2202" "1359" "2130" "1449" "1989" "1653" "1884" "1824" "1758" "1917" "1644" "1989" "1548" "2043" "1434" "2055" "1419" "1965" "1470" "1821" "1521" "1740" "1620" "1659" "1698" "1578" "1782" "1524" "1857" "1494" "1968" "1452" "2088" "1413"
"35" "isa1.3.jpg" "1926" "1926" "1626" "1890" "1704" "1866" "1792" "1844" "1890" "1812" "1962" "1760" "2028" "1686" "2134" "1586" "2216" "1484" "2272" "1358" "2316" "1156" "2294" "1200" "2180" "1284" "2078" "1356" "2002" "1466" "1908" "1590" "1830" "1724" "1764"
"36" "isa1.3.jpg" "1402" "1402" "2445" "1330" "2514" "1270" "2604" "1204" "2691" "1114" "2781" "1000" "2835" " 880" "2871" " 775" "2898" " 628" "2865" " 676" "2721" " 772" "2640" " 835" "2598" " 919" "2559" "1003" "2526" "1078" "2493" "1159" "2484" "1288" "2466"
"37" "isa1.4.jpg" "2571" "2571" "2602" "2521" "2602" "2429" "2642" "2307" "2722" "2209" "2742" "2131" "2750" "2055" "2734" "1963" "2718" "1889" "2672" "1957" "2620" "2019" "2568" "2131" "2520" "2207" "2498" "2313" "2496" "2399" "2514" "2463" "2548" "2521" "2576"
"38" "isa1.4.jpg" "1221" "1221" "3333" "1101" "3321" " 966" "3318" " 840" "3252" " 759" "3174" " 672" "3090" " 627" "3024" " 612" "2955" " 597" "2907" " 684" "2916" " 777" "2943" " 852" "2979" " 921" "3009" "1023" "3060" "1071" "3114" "1137" "3186" "1188" "3270"
"39" "isa1.5.jpg" "274" "274" "3622" "288" "3568" "334" "3492" "380" "3368" "378" "3262" "354" "3152" "316" "3046" "280" "2966" "256" "2930" "234" "2888" "172" "2916" "140" "2992" "120" "3106" "110" "3228" "120" "3338" "156" "3466" "224" "3566"
"40" "isa1.5.jpg" "1234" "1234" "3068" "1108" "3053" "1009" "3059" " 865" "3014" " 790" "2948" " 727" "2891" " 688" "2837" " 634" "2804" " 598" "2657" " 694" "2648" " 808" "2666" " 931" "2720" "1018" "2768" "1099" "2828" "1141" "2885" "1177" "2951" "1210" "3011"
"41" "isa1.6.jpg" " 461" " 461" "1850" " 553" "1856" " 663" "1860" " 765" "1874" " 863" "1900" " 953" "1948" "1021" "2002" "1063" "2064" "1059" "2170" "1015" "2208" " 917" "2208" " 825" "2162" " 739" "2106" " 673" "2056" " 609" "2002" " 569" "1960" " 525" "1908"
"42" "isa1.6.jpg" "1587" "1587" "2463" "1490" "2433" "1433" "2382" "1388" "2322" "1334" "2232" "1283" "2163" "1274" "2079" "1271" "1986" "1265" "1905" "1289" "1845" "1391" "1914" "1472" "1995" "1547" "2079" "1598" "2160" "1625" "2250" "1622" "2346" "1613" "2430"
"43" "isa1.7.jpg" "2032" "2032" "2849" "1880" "2829" "1656" "2757" "1484" "2741" "1332" "2765" "1180" "2825" "1068" "2917" " 948" "3049" " 816" "3205" " 660" "3325" " 820" "3365" "1166" "3451" "1448" "3403" "1642" "3291" "1770" "3162" "1838" "3087" "1945" "2902"
"44" "isa1.7.jpg" "416" "416" "1801" "332" "1975" "230" "2119" "204" "2265" "176" "2485" "224" "2681" "320" "2881" "412" "3033" "496" "3209" "568" "2949" "672" "2761" "704" "2613" "732" "2485" "720" "2349" "680" "2209" "616" "2097" "532" "1973"
"45" "isa1.8.jpg" "2330" "2330" "2794" "2304" "2728" "2272" "2642" "2234" "2580" "2200" "2522" "2152" "2446" "2084" "2370" "2032" "2322" "1982" "2290" "1908" "2268" "1886" "2286" "1882" "2346" "1934" "2440" "1964" "2494" "1976" "2526" "2038" "2566" "2232" "2698"
"46" "isa1.8.jpg" "1818" "1818" "2831" "1814" "2771" "1796" "2699" "1770" "2607" "1738" "2537" "1692" "2495" "1642" "2445" "1592" "2401" "1518" "2375" "1440" "2375" "1444" "2461" "1476" "2541" "1510" "2601" "1564" "2665" "1610" "2705" "1688" "2761" "1758" "2797"
"47" "isa1.9.jpg" "1558" "1558" "1955" "1495" "1925" "1438" "1880" "1369" "1835" "1282" "1802" "1186" "1778" "1087" "1772" "1012" "1790" " 940" "1820" " 955" "1886" "1021" "1940" "1105" "1976" "1192" "1994" "1273" "2012" "1360" "2015" "1441" "1991" "1492" "1979"
"48" "isa1.9.jpg" "286" "286" "1474" "330" "1526" "386" "1592" "450" "1660" "512" "1714" "580" "1752" "656" "1790" "734" "1812" "798" "1804" "848" "1774" "832" "1702" "788" "1632" "718" "1574" "646" "1538" "576" "1516" "476" "1494" "392" "1482"
"49" "isa1.jpg" "2453" "2453" "2342" "2403" "2284" "2365" "2172" "2305" "2080" "2233" "2020" "2163" "1982" "2083" "1954" "2007" "1938" "1951" "1938" "1977" "2038" "2025" "2104" "2083" "2178" "2149" "2238" "2203" "2280" "2249" "2294" "2311" "2310" "2379" "2318"
"50" "isa1.jpg" "252" "252" "2486" "290" "2540" "332" "2628" "366" "2712" "398" "2764" "444" "2806" "482" "2872" "536" "2912" "588" "2906" "620" "2906" "616" "2824" "598" "2766" "554" "2690" "524" "2664" "524" "2664" "494" "2622" "436" "2594"
"51" "isa2.jpg" "2412" "2412" "2352" "2274" "2388" "1926" "2340" "1608" "2364" "1314" "2406" "1062" "2484" " 876" "2562" " 684" "2772" " 522" "3054" " 396" "3432" " 660" "3366" " 900" "3390" "1194" "3354" "1506" "3258" "1764" "3102" "2016" "2862" "2190" "2616"
"52" "isa2.jpg" "2604" "2604" "1026" "2496" "1080" "2304" "1056" "2010" "1104" "1680" "1206" "1374" "1434" "1110" "1704" "1014" "1992" " 822" "2412" " 942" "2394" "1218" "2352" "1428" "2304" "1680" "2244" "1962" "2142" "2178" "2004" "2376" "1758" "2514" "1482"
"53" "sor1.2.jpg" "2286" "2286" "2019" "2184" "2067" "2022" "2094" "1827" "2127" "1722" "2160" "1620" "2211" "1554" "2295" "1482" "2409" "1467" "2580" "1587" "2580" "1743" "2598" "1908" "2526" "2004" "2445" "2052" "2373" "2094" "2283" "2151" "2208" "2205" "2127"
"54" "sor1.2.jpg" "2403" "2403" "1689" "2250" "1668" "2118" "1632" "2001" "1614" "1863" "1614" "1749" "1659" "1671" "1722" "1608" "1803" "1521" "1929" "1656" "1944" "1764" "1962" "1902" "1962" "1992" "1893" "2091" "1812" "2157" "1770" "2229" "1731" "2283" "1716"
"55" "sor2.jpg" "2372" "2372" "1398" "2322" "1466" "2250" "1538" "2172" "1602" "2070" "1668" "1986" "1742" "1920" "1832" "1866" "1896" "1842" "1996" "1828" "2114" "1932" "2064" "2024" "2000" "2112" "1934" "2186" "1858" "2252" "1752" "2312" "1616" "2322" "1532"
"56" "sor2.jpg" "2088" "2088" "2002" "2056" "2039" "2019" "2076" "1979" "2107" "1927" "2152" "1861" "2214" "1821" "2268" "1807" "2308" "1791" "2498" "1883" "2478" "1937" "2435" "1971" "2390" "2041" "2326" "2067" "2230" "2081" "2146" "2091" "2096" "2088" "2062"
"57" "sor3.1.jpg" "2403" "2403" " 607" "2376" " 691" "2304" " 769" "2220" " 847" "2115" " 919" "2046" "1000" "1977" "1090" "1914" "1189" "1881" "1351" "1893" "1594" "2004" "1540" "2079" "1471" "2157" "1405" "2229" "1318" "2283" "1207" "2337" "1072" "2355" " 883"
"58" "sor3.1.jpg" "1572" "1572" "2109" "1470" "2148" "1404" "2166" "1269" "2178" "1161" "2211" "1071" "2256" " 978" "2310" " 900" "2409" " 825" "2541" " 957" "2547" "1101" "2517" "1212" "2460" "1299" "2382" "1377" "2292" "1437" "2232" "1476" "2202" "1518" "2169"
"59" "sor3.2.jpg" " 514" " 514" "2544" " 650" "2664" " 794" "2656" " 942" "2700" "1094" "2788" "1218" "2892" "1286" "3000" "1346" "3220" "1154" "3208" "1046" "3212" " 878" "3120" " 774" "3028" " 718" "2944" " 662" "2848" " 626" "2804" " 606" "2728" " 594" "2660"
"60" "sor3.2.jpg" "2189" "2189" "2109" "2087" "2256" "1976" "2295" "1865" "2352" "1757" "2421" "1673" "2535" "1625" "2616" "1529" "2790" "1625" "2802" "1700" "2772" "1814" "2712" "1910" "2682" "1985" "2592" "2066" "2490" "2090" "2430" "2096" "2364" "2105" "2313"
"61" "sor3.jpg" "468" "468" "2214" "448" "2274" "438" "2348" "450" "2410" "482" "2466" "520" "2514" "562" "2546" "598" "2566" "640" "2592" "640" "2550" "632" "2520" "622" "2468" "616" "2426" "602" "2380" "584" "2336" "562" "2298" "524" "2262"
"62" "sor3.jpg" "399" "399" "2694" "414" "2737" "426" "2777" "448" "2812" "482" "2853" "516" "2869" "549" "2887" "594" "2902" "676" "2915" "658" "2882" "636" "2836" "619" "2818" "601" "2792" "586" "2765" "586" "2765" "561" "2743" "502" "2710"
"63" "wes1.jpg" "2567" "2567" "1106" "2489" "1166" "2372" "1193" "2222" "1253" "2096" "1319" "1979" "1412" "1865" "1511" "1775" "1622" "1697" "1748" "1646" "1910" "1631" "2054" "1568" "2237" "1715" "2147" "1889" "2081" "2069" "1955" "2228" "1787" "2351" "1562"
"64" "wes1.jpg" " 459" " 459" "2037" " 510" "1992" " 555" "1968" " 633" "1854" " 729" "1782" " 810" "1743" " 894" "1719" " 987" "1701" "1077" "1710" "1155" "1716" "1257" "1710" "1152" "1794" "1083" "1857" " 996" "1917" " 912" "1956" " 801" "1980" " 681" "2004"
"65" "wes2.1.jpg" "2103" "2103" "1543" "2049" "1497" "1973" "1441" "1883" "1397" "1755" "1373" "1637" "1393" "1551" "1427" "1499" "1461" "1441" "1497" "1353" "1521" "1465" "1547" "1527" "1563" "1609" "1593" "1695" "1613" "1811" "1611" "1905" "1603" "1981" "1571"
"66" "wes2.1.jpg" "2132" "2132" "1054" "2086" "1064" "2004" "1050" "1924" "1050" "1862" "1060" "1812" "1064" "1766" "1092" "1712" "1128" "1688" "1130" "1632" "1174" "1572" "1226" "1498" "1268" "1594" "1296" "1676" "1310" "1796" "1314" "1912" "1262" "2042" "1174"
"67" "wes2.2.jpg" " 816" " 816" "2894" " 840" "2795" " 882" "2684" " 933" "2597" " 969" "2543" "1029" "2492" "1116" "2432" "1206" "2408" "1305" "2378" "1389" "2363" "1452" "2345" "1401" "2420" "1359" "2543" "1284" "2639" "1218" "2717" "1119" "2786" " 981" "2828"
"68" "wes2.2.jpg" "2076" "2076" "1438" "2030" "1428" "1938" "1354" "1840" "1280" "1776" "1252" "1702" "1240" "1614" "1228" "1516" "1246" "1414" "1226" "1514" "1300" "1586" "1384" "1658" "1440" "1774" "1474" "1860" "1482" "1918" "1480" "1964" "1466" "2002" "1456"
"69" "wes2.jpg" "2300" "2300" "1128" "2240" "1174" "2174" "1210" "2114" "1226" "2010" "1240" "1904" "1270" "1822" "1316" "1728" "1372" "1642" "1464" "1598" "1548" "1538" "1630" "1638" "1628" "1746" "1642" "1850" "1628" "1994" "1562" "2120" "1444" "2196" "1352"
"70" "wes2.jpg" "2257" "2257" "1636" "2179" "1648" "2092" "1678" "2023" "1696" "1942" "1705" "1843" "1735" "1762" "1786" "1666" "1858" "1624" "1915" "1501" "1984" "1606" "1981" "1723" "2008" "1834" "2008" "1945" "1981" "2044" "1930" "2119" "1816" "2161" "1750"
"71" "Sor1.1.jpg" "2296" "2296" " 573" "2221" " 648" "2065" " 735" "1954" " 771" "1822" " 825" "1702" " 912" "1597" "1035" "1564" "1170" "1564" "1293" "1579" "1425" "1753" "1398" "1921" "1281" "2017" "1152" "2053" "1047" "2089" " 924" "2125" " 849" "2173" " 750"
"72" "Sor1.1.jpg" "2238" "2238" "1296" "2193" "1401" "2115" "1503" "1992" "1563" "1869" "1650" "1752" "1716" "1692" "1743" "1614" "1824" "1536" "1932" "1533" "2067" "1536" "2244" "1695" "2232" "1854" "2175" "1995" "2064" "2091" "1935" "2136" "1767" "2178" "1551"
"73" "Sor1.jpg" "  64" "  64" "2347" " 132" "2295" " 276" "2243" " 492" "2171" " 724" "2179" " 896" "2199" "1036" "2279" "1144" "2371" "1272" "2567" "1168" "2619" "1108" "2675" "1028" "2743" " 876" "2763" " 680" "2731" " 576" "2695" " 448" "2635" " 252" "2503"
"74" "Sor1.jpg" "1675" "1675" "2086" "1684" "1993" "1699" "1837" "1729" "1684" "1783" "1546" "1876" "1420" "1987" "1327" "2101" "1252" "2209" "1183" "2317" "1138" "2440" "1123" "2491" "1255" "2458" "1429" "2425" "1573" "2332" "1801" "2215" "1930" "1942" "2056"
